country,date,Population,NewCases,TotalCases,NewDeaths,TotalDeaths,lat,long
Mexico_2020,1/22,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/23,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/24,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/25,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/26,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/27,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/28,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/29,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/30,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,1/31,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/1,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/2,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/3,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/4,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/5,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/6,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/7,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/8,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/9,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/10,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/11,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/12,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/13,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/14,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/15,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/16,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/17,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/18,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/19,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/20,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/21,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/22,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/23,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/24,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/25,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/26,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/27,127576000,0,0,0,0,23.6345,-102.5528
Mexico_2020,2/28,127576000,1,1,0,0,23.6345,-102.5528
Mexico_2020,2/29,127576000,3,4,0,0,23.6345,-102.5528
Mexico_2020,3/1,127576000,1,5,0,0,23.6345,-102.5528
Mexico_2020,3/2,127576000,0,5,0,0,23.6345,-102.5528
Mexico_2020,3/3,127576000,0,5,0,0,23.6345,-102.5528
Mexico_2020,3/4,127576000,0,5,0,0,23.6345,-102.5528
Mexico_2020,3/5,127576000,0,5,0,0,23.6345,-102.5528
Mexico_2020,3/6,127576000,1,6,0,0,23.6345,-102.5528
Mexico_2020,3/7,127576000,0,6,0,0,23.6345,-102.5528
Mexico_2020,3/8,127576000,1,7,0,0,23.6345,-102.5528
Mexico_2020,3/9,127576000,0,7,0,0,23.6345,-102.5528
Mexico_2020,3/10,127576000,0,7,0,0,23.6345,-102.5528
Mexico_2020,3/11,127576000,1,8,0,0,23.6345,-102.5528
Mexico_2020,3/12,127576000,4,12,0,0,23.6345,-102.5528
Mexico_2020,3/13,127576000,14,26,0,0,23.6345,-102.5528
Mexico_2020,3/14,127576000,15,41,0,0,23.6345,-102.5528
Mexico_2020,3/15,127576000,12,53,0,0,23.6345,-102.5528
Mexico_2020,3/16,127576000,29,82,0,0,23.6345,-102.5528
Mexico_2020,3/17,127576000,11,93,0,0,23.6345,-102.5528
Mexico_2020,3/18,127576000,25,118,0,0,23.6345,-102.5528
Mexico_2020,3/19,127576000,46,164,1,1,23.6345,-102.5528
Mexico_2020,3/20,127576000,39,203,1,2,23.6345,-102.5528
Mexico_2020,3/21,127576000,48,251,0,2,23.6345,-102.5528
Mexico_2020,3/22,127576000,65,316,1,3,23.6345,-102.5528
Mexico_2020,3/23,127576000,51,367,1,4,23.6345,-102.5528
Mexico_2020,3/24,127576000,38,405,1,5,23.6345,-102.5528
Mexico_2020,3/25,127576000,70,475,1,6,23.6345,-102.5528
Mexico_2020,3/26,127576000,110,585,2,8,23.6345,-102.5528
Mexico_2020,3/27,127576000,132,717,4,12,23.6345,-102.5528
Mexico_2020,3/28,127576000,131,848,4,16,23.6345,-102.5528
Mexico_2020,3/29,127576000,145,993,4,20,23.6345,-102.5528
Mexico_2020,3/30,127576000,101,1094,8,28,23.6345,-102.5528
Mexico_2020,3/31,127576000,121,1215,1,29,23.6345,-102.5528
Mexico_2020,4/1,127576000,163,1378,8,37,23.6345,-102.5528
Mexico_2020,4/2,127576000,132,1510,13,50,23.6345,-102.5528
Mexico_2020,4/3,127576000,178,1688,10,60,23.6345,-102.5528
Mexico_2020,4/4,127576000,202,1890,19,79,23.6345,-102.5528
Mexico_2020,4/5,127576000,253,2143,15,94,23.6345,-102.5528
Mexico_2020,4/6,127576000,296,2439,31,125,23.6345,-102.5528
Mexico_2020,4/7,127576000,346,2785,16,141,23.6345,-102.5528
Mexico_2020,4/8,127576000,396,3181,33,174,23.6345,-102.5528
Mexico_2020,4/9,127576000,260,3441,20,194,23.6345,-102.5528
Mexico_2020,4/10,127576000,403,3844,39,233,23.6345,-102.5528
Mexico_2020,4/11,127576000,375,4219,40,273,23.6345,-102.5528
Mexico_2020,4/12,127576000,442,4661,23,296,23.6345,-102.5528
Mexico_2020,4/13,127576000,353,5014,36,332,23.6345,-102.5528
Mexico_2020,4/14,127576000,385,5399,74,406,23.6345,-102.5528
Mexico_2020,4/15,127576000,448,5847,43,449,23.6345,-102.5528
Mexico_2020,4/16,127576000,450,6297,37,486,23.6345,-102.5528
Mexico_2020,4/17,127576000,578,6875,60,546,23.6345,-102.5528
Mexico_2020,4/18,127576000,622,7497,104,650,23.6345,-102.5528
Mexico_2020,4/19,127576000,764,8261,36,686,23.6345,-102.5528
Mexico_2020,4/20,127576000,511,8772,26,712,23.6345,-102.5528
Mexico_2020,4/21,127576000,729,9501,145,857,23.6345,-102.5528
Mexico_2020,4/22,127576000,1043,10544,113,970,23.6345,-102.5528
Mexico_2020,4/23,127576000,1089,11633,99,1069,23.6345,-102.5528
Mexico_2020,4/24,127576000,1239,12872,152,1221,23.6345,-102.5528
Mexico_2020,4/25,127576000,970,13842,84,1305,23.6345,-102.5528
Mexico_2020,4/26,127576000,835,14677,46,1351,23.6345,-102.5528
Mexico_2020,4/27,127576000,852,15529,83,1434,23.6345,-102.5528
Mexico_2020,4/28,127576000,1223,16752,135,1569,23.6345,-102.5528
Mexico_2020,4/29,127576000,1047,17799,163,1732,23.6345,-102.5528
Mexico_2020,4/30,127576000,1425,19224,127,1859,23.6345,-102.5528
Mexico_2020,5/1,127576000,1515,20739,113,1972,23.6345,-102.5528
Mexico_2020,5/2,127576000,1349,22088,89,2061,23.6345,-102.5528
Mexico_2020,5/3,127576000,1383,23471,93,2154,23.6345,-102.5528
Mexico_2020,5/4,127576000,1434,24905,117,2271,23.6345,-102.5528
Mexico_2020,5/5,127576000,1120,26025,236,2507,23.6345,-102.5528
Mexico_2020,5/6,127576000,1609,27634,197,2704,23.6345,-102.5528
Mexico_2020,5/7,127576000,1982,29616,257,2961,23.6345,-102.5528
Mexico_2020,5/8,127576000,1906,31522,199,3160,23.6345,-102.5528
Mexico_2020,5/9,127576000,1938,33460,193,3353,23.6345,-102.5528
Mexico_2020,5/10,127576000,1562,35022,112,3465,23.6345,-102.5528
Mexico_2020,5/11,127576000,1305,36327,108,3573,23.6345,-102.5528
Mexico_2020,5/12,127576000,1997,38324,353,3926,23.6345,-102.5528
Mexico_2020,5/13,127576000,1862,40186,294,4220,23.6345,-102.5528
Mexico_2020,5/14,127576000,2409,42595,257,4477,23.6345,-102.5528
Mexico_2020,5/15,127576000,2437,45032,290,4767,23.6345,-102.5528
Mexico_2020,5/16,127576000,2112,47144,278,5045,23.6345,-102.5528
Mexico_2020,5/17,127576000,2075,49219,132,5177,23.6345,-102.5528
Mexico_2020,5/18,127576000,2414,51633,155,5332,23.6345,-102.5528
Mexico_2020,5/19,127576000,2713,54346,334,5666,23.6345,-102.5528
Mexico_2020,5/20,127576000,2248,56594,424,6090,23.6345,-102.5528
Mexico_2020,5/21,127576000,2973,59567,420,6510,23.6345,-102.5528
Mexico_2020,5/22,127576000,2960,62527,479,6989,23.6345,-102.5528
Mexico_2020,5/23,127576000,3329,65856,190,7179,23.6345,-102.5528
